Metrics,,exceptionality,exceptionality,exceptionality,exceptionality,exceptionality,#sg,#sg,#sg,#sg,#sg,length,length,length,length,length,sgCov,sgCov,sgCov,sgCov,sgCov,setCov,setCov,setCov,setCov,setCov,description redundancy,description redundancy,description redundancy,description redundancy,description redundancy,cover redundancy,cover redundancy,cover redundancy,cover redundancy,cover redundancy,CR,CR,CR,CR,CR,model redundancy,model redundancy,model redundancy,model redundancy,model redundancy
Algorithms,,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules,Esmam-cpm,EsmamDS-cpm,BS-EMM-cpm,BS-SD-cpm,LR-Rules
Data sets,Exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
actg320,8,1.0,1.0,1.0,0.0,1.0,4,2,3.0,3.0,8.0,1.75,1.0,3.333333333333333,2.6666666666666665,2.75,0.32232841007819285,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.5,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.5,0.0,1.0,0.3333333333333333,0.6592207069738437,0.3630067373735716,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.0,1.0,1.0,0.39285714285714285
actg320,9,1.0,1.0,1.0,0.0,1.0,3,4,3.0,3.0,8.0,1.0,1.75,3.333333333333333,2.6666666666666665,2.75,0.3996524761077324,0.4031277150304083,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,0.9721980886185926,0.09817549956559514,0.5047784535186794,1.0,0.0,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.3333333333333333,0.3489706529025285,1.0,0.3333333333333333,0.6592207069738437,0.26585325929563763,0.3729993034542698,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.5,1.0,1.0,0.39285714285714285
actg320,10,1.0,1.0,1.0,0.0,1.0,7,2,3.0,3.0,8.0,1.7142857142857142,1.0,3.333333333333333,2.6666666666666665,2.75,0.32183194737495346,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.09523809523809523,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.4191065102151023,0.0,1.0,0.3333333333333333,0.6592207069738437,0.3366063079004033,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.38095238095238093,0.0,1.0,1.0,0.39285714285714285
actg320,11,1.0,1.0,1.0,0.0,1.0,7,2,3.0,3.0,8.0,1.5714285714285714,1.0,3.333333333333333,2.6666666666666665,2.75,0.3050763311406231,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.19047619047619047,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.49329639342929643,0.0,1.0,0.3333333333333333,0.6592207069738437,0.5045487031830683,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.0,1.0,1.0,0.39285714285714285
actg320,12,1.0,1.0,1.0,0.0,1.0,3,4,3.0,3.0,8.0,1.3333333333333333,1.5,3.333333333333333,2.6666666666666665,2.75,0.3970460469157255,0.32971329278887923,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.3333333333333333,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.3333333333333333,0.3540229885057471,1.0,0.3333333333333333,0.6592207069738437,0.2595909686879933,0.3369173165569566,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.3333333333333333,1.0,1.0,0.39285714285714285
actg320,13,1.0,1.0,1.0,0.0,1.0,3,4,3.0,3.0,8.0,1.3333333333333333,1.25,3.333333333333333,2.6666666666666665,2.75,0.3666377063423111,0.4000868809730669,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.0,0.16666666666666666,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.3333333333333333,0.5197754524171095,1.0,0.3333333333333333,0.6592207069738437,0.16352289306777346,0.37480980047562135,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.0,0.16666666666666666,1.0,1.0,0.39285714285714285
actg320,14,1.0,1.0,1.0,0.0,1.0,3,2,3.0,3.0,8.0,1.0,1.0,3.333333333333333,2.6666666666666665,2.75,0.4480162177816392,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.0,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6592207069738437,0.3358199525215512,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.0,1.0,1.0,0.39285714285714285
actg320,15,1.0,1.0,1.0,0.0,1.0,3,3,3.0,3.0,8.0,1.0,1.3333333333333333,3.333333333333333,2.6666666666666665,2.75,0.3996524761077324,0.3666377063423111,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.0,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6592207069738437,0.2658532592956384,0.1635228930677705,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.0,1.0,1.0,0.39285714285714285
actg320,16,1.0,1.0,1.0,0.0,1.0,2,2,3.0,3.0,8.0,1.0,1.0,3.333333333333333,2.6666666666666665,2.75,0.5,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.0,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.0,0.0,1.0,0.3333333333333333,0.6592207069738437,0.0,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.0,0.0,1.0,1.0,0.39285714285714285
actg320,17,1.0,1.0,1.0,0.0,1.0,4,2,3.0,3.0,8.0,1.25,1.0,3.333333333333333,2.6666666666666665,2.75,0.422241529105126,0.5,0.09817549956559514,0.1879525050680568,0.21079496090356206,1.0,1.0,0.09817549956559514,0.5047784535186794,1.0,0.16666666666666666,0.0,0.8888888888888888,0.4444444444444444,0.3952380952380952,0.35288799113178243,0.0,1.0,0.3333333333333333,0.6592207069738437,0.2537550099573468,0.0,0.9018245004344068,0.4952215464813226,0.5770937710236494,0.3333333333333333,0.0,1.0,1.0,0.39285714285714285
