times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1740.0,0.8354499838984007,1.0,0.9615384615384612,0.6296296296296297,0.931034482758621,0.95,0.6818181818181817,0.9523809523809522,1.0,0.6702974444909929,0.6875000000000001,0.7490384615384614
1742.0,0.8300945352836675,1.0,0.9615384615384612,0.6296296296296297,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6702974444909929,0.65625,0.7287941787941787
1743.0,0.8247390866689344,1.0,0.9615384615384612,0.6296296296296297,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6702974444909929,0.6249999999999999,0.7287941787941787
1781.0,0.8247390866689344,1.0,0.9615384615384612,0.6296296296296297,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6702974444909929,0.6249999999999999,0.7287941787941787
1815.0,0.8193486351220788,1.0,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6471837395085447,0.6249999999999999,0.7287941787941787
1918.0,0.8193486351220788,1.0,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6471837395085447,0.6249999999999999,0.7287941787941787
1920.0,0.8193486351220788,1.0,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6471837395085447,0.6249999999999999,0.7287941787941787
2105.0,0.8193486351220788,1.0,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6471837395085447,0.6249999999999999,0.7287941787941787
2196.0,0.8193486351220788,1.0,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6471837395085447,0.6249999999999999,0.7287941787941787
2225.0,0.8193486351220788,1.0,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6471837395085447,0.6249999999999999,0.7287941787941787
2349.0,0.8137748348831532,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6471837395085447,0.6249999999999999,0.7079714879714881
2454.0,0.8082010346442274,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6471837395085447,0.6249999999999999,0.6871487971487972
2549.0,0.8082010346442274,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6471837395085447,0.6249999999999999,0.6871487971487972
2561.0,0.8082010346442274,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.6363636363636361,0.9523809523809522,1.0,0.6471837395085447,0.6249999999999999,0.6871487971487972
2604.0,0.8025492791572052,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.6212963899282031,0.6249999999999999,0.6871487971487972
2647.0,0.8025492791572052,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.6212963899282031,0.6249999999999999,0.6871487971487972
2672.0,0.8025492791572052,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.6212963899282031,0.6249999999999999,0.6871487971487972
2722.0,0.8025492791572052,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.6212963899282031,0.6249999999999999,0.6871487971487972
2809.0,0.8025492791572052,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.6212963899282031,0.6249999999999999,0.6871487971487972
2863.0,0.7967337046705586,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5954090403478612,0.5937499999999999,0.6871487971487972
2879.0,0.7967337046705586,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5954090403478612,0.5937499999999999,0.6871487971487972
2892.0,0.7967337046705586,0.9761904761904763,0.9615384615384612,0.5902777777777779,0.931034482758621,0.95,0.5833333333333331,0.9523809523809522,1.0,0.5954090403478612,0.5937499999999999,0.6871487971487972
