times,population,R0,R1,R2,R3,R4
338.0,0.9307667106693328,0.8482014388489211,0.8836968242705412,0.9404974983414417,0.9807363839880604,0.8887890739117733
343.0,0.9292458500309845,0.8482014388489211,0.8797866613312907,0.9404974983414417,0.9779502010790034,0.8887890739117733
344.0,0.9277249893926359,0.8482014388489211,0.8758764983920403,0.9404974983414417,0.9779502010790034,0.8825737657026005
348.0,0.9262041287542873,0.8482014388489211,0.8758764983920403,0.9404974983414417,0.9779502010790034,0.8763584574934273
350.0,0.9246832681159387,0.8482014388489211,0.8719663354527905,0.9404974983414417,0.9751640181699464,0.8763584574934273
353.0,0.92316240747759,0.8482014388489211,0.8719663354527905,0.9404974983414417,0.9723778352608896,0.8763584574934273
357.0,0.921641546839241,0.8409518539014942,0.8680561725135401,0.93297351835471,0.9723778352608896,0.8763584574934273
358.0,0.9201206862008932,0.8337022689540677,0.8641460095742897,0.93297351835471,0.9723778352608896,0.8763584574934273
359.0,0.9170789649241958,0.8264526840066411,0.8563256836957898,0.93297351835471,0.969591652351833,0.8763584574934273
360.0,0.9155581042858468,0.8192030990592145,0.8524155207565393,0.93297351835471,0.969591652351833,0.8763584574934273
368.0,0.9155581042858468,0.8192030990592145,0.8524155207565393,0.93297351835471,0.969591652351833,0.8763584574934273
369.0,0.9140347130973512,0.8192030990592145,0.8485053578172894,0.93297351835471,0.966797440097217,0.8763584574934273
370.0,0.9109879307203597,0.8192030990592145,0.8406850319387886,0.9254495383679779,0.966797440097217,0.8639278410750805
371.0,0.9094645395318646,0.8192030990592145,0.8406850319387886,0.9254495383679779,0.9640032278426008,0.8639278410750805
372.0,0.907941148343369,0.8192030990592145,0.8406850319387886,0.9254495383679779,0.961209015587984,0.8639278410750805
374.0,0.9064177571548736,0.8192030990592145,0.8406850319387886,0.9254495383679779,0.961209015587984,0.8577125328659078
375.0,0.904894365966378,0.8192030990592145,0.8367748689995385,0.917925558381247,0.961209015587984,0.8514972246567343
377.0,0.9033709747778824,0.8119535141117873,0.8328647060602888,0.917925558381247,0.961209015587984,0.8514972246567343
379.0,0.9018475835893863,0.8047039291643607,0.8289545431210382,0.917925558381247,0.961209015587984,0.8514972246567343
385.0,0.9003241924008912,0.8047039291643607,0.8289545431210382,0.917925558381247,0.9584148033333675,0.8514972246567343
392.0,0.898800801212395,0.7974543442169345,0.8250443801817883,0.917925558381247,0.9584148033333675,0.8514972246567343
394.0,0.8972774100238996,0.7902047592695074,0.8250443801817883,0.917925558381247,0.9584148033333675,0.8514972246567343
403.0,0.8957540188354041,0.7829551743220811,0.8211342172425378,0.917925558381247,0.9584148033333675,0.8514972246567343
410.0,0.8942306276469089,0.775705589374654,0.8172240543032877,0.917925558381247,0.9584148033333675,0.8514972246567343
415.0,0.8927072364584127,0.775705589374654,0.8172240543032877,0.9104015783945155,0.9584148033333675,0.8452819164475612
417.0,0.8911838452699177,0.775705589374654,0.8133138913640375,0.9104015783945155,0.9584148033333675,0.8390666082383879
420.0,0.8881370628929262,0.7684560044272274,0.8054935654855374,0.9104015783945155,0.9556205910787513,0.8390666082383879
424.0,0.8881370628929262,0.7684560044272274,0.8054935654855374,0.9104015783945155,0.9556205910787513,0.8390666082383879
426.0,0.8850850454946683,0.7612064194798006,0.7976350916759221,0.9104015783945155,0.9528181846533007,0.8390666082383879
429.0,0.8850850454946683,0.7612064194798006,0.7976350916759221,0.9104015783945155,0.9528181846533007,0.8390666082383879
432.0,0.8850850454946683,0.7612064194798006,0.7976350916759221,0.9104015783945155,0.9528181846533007,0.8390666082383879
436.0,0.8835537564886221,0.7612064194798006,0.7936864031032687,0.9104015783945155,0.9528181846533007,0.8328049171321313
438.0,0.882022467482576,0.7612064194798006,0.7936864031032687,0.9104015783945155,0.9528181846533007,0.8265432260258746
446.0,0.8804911784765298,0.7612064194798006,0.7897377145306154,0.9104015783945155,0.9528181846533007,0.8202815349196179
448.0,0.8789598894704838,0.753956834532374,0.7857890259579624,0.9104015783945155,0.9528181846533007,0.8202815349196179
449.0,0.8774286004644376,0.753956834532374,0.7818403373853094,0.9104015783945155,0.9500075115422294,0.8202815349196179
455.0,0.8758973114583911,0.7467072495849476,0.7778916488126564,0.9028775984077836,0.9500075115422294,0.8202815349196179
456.0,0.8743660224523453,0.7467072495849476,0.7778916488126564,0.9028775984077836,0.9471968384311574,0.8202815349196179
460.0,0.8728347334462992,0.7394576646375205,0.7778916488126564,0.8953536184210524,0.9471968384311574,0.8202815349196179
461.0,0.8728347334462992,0.7394576646375205,0.7778916488126564,0.8953536184210524,0.9471968384311574,0.8202815349196179
463.0,0.8728347334462992,0.7394576646375205,0.7778916488126564,0.8953536184210524,0.9471968384311574,0.8202815349196179
465.0,0.8712980525775551,0.7322080796900944,0.7739228138697349,0.8953536184210524,0.9471968384311574,0.8202815349196179
471.0,0.8697613717088121,0.7249584947426678,0.7699539789268134,0.8953536184210524,0.9471968384311574,0.8202815349196179
473.0,0.8682246908400688,0.7249584947426678,0.7659851439838916,0.8953536184210524,0.9471968384311574,0.8139716769586978
475.0,0.8666880099713253,0.7249584947426678,0.7659851439838916,0.8953536184210524,0.9471968384311574,0.8076618189977776
476.0,0.8636146482338378,0.7249584947426678,0.7620163090409698,0.8953536184210524,0.9443778002215408,0.8013519610368576
